setting,M,s,MSE,se
1,10,4,0.1562238484621048,6.982761260587722e-05
2,10,4,0.14804650843143463,6.240138463908806e-05
3,10,4,0.3158589005470276,0.00010708133049774915
4,10,4,3.8228042125701904,0.0006820092094130814
